time,spatialGroup,siteType,chargerType,chargingLoad,numPlugged
18.75,Santa Clara,Non-Residential,j-1772-2,6.700000000000002,9
18.75,San Francisco,Residential,j-1772-2,6.700000000000002,6
18.75,San Francisco,Non-Residential,j-1772-2,0.0,1
18.75,Alameda,Residential,j-1772-2,13.4,2
18.75,Alameda,Non-Residential,j-1772-2,6.7,1
18.75,Marin,Residential,j-1772-2,0.0,2
18.75,Marin,Non-Residential,j-1772-2,0.0,1
18.75,San Mateo,Residential,j-1772-2,20.1,19
18.75,San Mateo,Non-Residential,j-1772-2,6.700000000000002,7
18.75,Contra Costa,Non-Residential,j-1772-2,6.7,2
19.0,Santa Clara,Residential,j-1772-2,13.4,4
19.0,Santa Clara,Non-Residential,j-1772-2,20.0,11
19.0,San Francisco,Residential,j-1772-2,6.700000000000002,6
19.0,San Francisco,Non-Residential,j-1772-2,0.0,1
19.0,Alameda,Residential,j-1772-2,0.0,0
19.0,Alameda,Non-Residential,j-1772-2,0.0,0
19.0,Marin,Residential,j-1772-2,0.0,2
19.0,Marin,Non-Residential,j-1772-2,0.0,1
19.0,San Mateo,Residential,j-1772-2,13.400000000000002,20
19.0,San Mateo,Non-Residential,j-1772-2,1.7763568394002505E-15,6
19.0,Contra Costa,Non-Residential,j-1772-2,0.0,1
19.25,Santa Clara,Residential,j-1772-2,13.4,4
19.25,Santa Clara,Non-Residential,j-1772-2,13.3,10
